manufacturer,oem,prefix,name,suffix,vram,gddr,price,link
NVIDIA,技嘉,RTX,4060,Ti,8,6,13990,https://24h.pchome.com.tw/prod/DRADL2-A900GCLR7
AMD,華擎,RX,6600,,8,6,12900,https://24h.pchome.com.tw/prod/DRADJZ-A900EZH7K
NVIDIA,技嘉,RTX,4070,,12,6,21590,https://24h.pchome.com.tw/prod/DRADL2-A900G809H
NVIDIA,映眾,RTX,4070,,,6,18888,https://24h.pchome.com.tw/prod/DRADGJ-A900GC529
NVIDIA,微星,RTX,3060,,15,6,9990,https://24h.pchome.com.tw/prod/DRADHV-A900GOIOB
NVIDIA,技嘉,RTX,4060,Ti,8,6,16090,https://24h.pchome.com.tw/prod/DRADL2-A900GCLSZ
AMD,微星,RX,6500,XT,,,5790,https://24h.pchome.com.tw/prod/DRAD1R-A900DZGK6
NVIDIA,技嘉,RTX,4070,,,,22490,https://24h.pchome.com.tw/prod/DRADL2-A900G87D7
NVIDIA,技嘉,RTX,4070,,12,6,19090,https://24h.pchome.com.tw/prod/DRADL2-A900G87DM
AMD,,RX,7800,XT,16,6,18590,https://24h.pchome.com.tw/prod/DRAD1Y-A900GXBMD
AMD,,RX,7700,XT,12,6,16490,https://24h.pchome.com.tw/prod/DRAD1Y-A900GMUFH
NVIDIA,技嘉,RTX,4060,Ti,16,6,18990,https://24h.pchome.com.tw/prod/DRADL2-A900GJE05
NVIDIA,技嘉,RTX,4060,Ti,8,6,15090,https://24h.pchome.com.tw/prod/DRADL2-A900GCLVC
AMD,技嘉,RX,7600,,8,6,9290,https://24h.pchome.com.tw/prod/DRADL2-A900GD3VS
NVIDIA,映眾,RTX,3060,,12,6,8888,https://24h.pchome.com.tw/prod/DRADGJ-A900GC4F3
NVIDIA,技嘉,RTX,4060,,8,6,12990,https://24h.pchome.com.tw/prod/DRADL2-A900GG3JO
NVIDIA,微星,RTX,4070,,12,6,18990,https://24h.pchome.com.tw/prod/DRADLA-A900G8701
NVIDIA,華碩,GTX,1650,Ti,4,6,4490,https://24h.pchome.com.tw/prod/DRADKY-A900GMZYQ
NVIDIA,索泰,GTX,1650,,,6,3990,https://24h.pchome.com.tw/prod/DRADLX-A900H2TMC
NVIDIA,華碩,RTX,4060,Ti,8,6,15990,https://24h.pchome.com.tw/prod/DRADKY-A900GGIHU
NVIDIA,技嘉,RTX,4060,Ti,8,6,15590,https://24h.pchome.com.tw/prod/DRADL2-A900GCSA1
AMD,華碩,RX,7600,,8,6,8890,https://24h.pchome.com.tw/prod/DRADKY-A900GSBOK
NVIDIA,索泰,RTX,3050,,8,6,6990,https://24h.pchome.com.tw/prod/DRADLX-A900GSTDT
NVIDIA,微星,RTX,4060,Ti,8,6,12990,https://24h.pchome.com.tw/prod/DRADLA-A900GLWBC
NVIDIA,華碩,RTX,4070,Super,12,6,21990,https://24h.pchome.com.tw/prod/DRADKY-A900H34FU
NVIDIA,技嘉,RTX,4060,,,6,10090,https://24h.pchome.com.tw/prod/DRADL2-A900GFWQ2
NVIDIA,微星,RTX,4070,,,6,22990,https://24h.pchome.com.tw/prod/DRADNP-A900G8CPQ
NVIDIA,華碩,RTX,4060,Ti,8,6,15990,https://24h.pchome.com.tw/prod/DRADKY-A900GJJ27
NVIDIA,技嘉,RTX,4060,Ti,8,6,16090,https://24h.pchome.com.tw/prod/DRADL2-A900GCQXR
NVIDIA,華碩,RTX,4060,Ti,8,6,13990,https://24h.pchome.com.tw/prod/DRADKY-A900GS0ZV
NVIDIA,微星,RTX,3050,,8,6,6890,https://24h.pchome.com.tw/prod/DRADLA-A900GSOYQ
NVIDIA,微星,RTX,4060,Ti,16,6,16990,https://24h.pchome.com.tw/prod/DRADLA-A900GJ7M8
NVIDIA,華碩,GTX,1650,Ti,4,6,4490,https://24h.pchome.com.tw/prod/DRADKY-A900GMZZW
NVIDIA,技嘉,RTX,3060,,12,6,8990,https://24h.pchome.com.tw/prod/DRADL2-A900GS060
NVIDIA,微星,RTX,4070,,12,6,20490,https://24h.pchome.com.tw/prod/DRADLA-A900GLXV8
NVIDIA,微星,RTX,4060,Ti,8,6,13990,https://24h.pchome.com.tw/prod/DRADLA-A900GCO3Z
AMD,,RX,6500,XT,,6,6490,https://24h.pchome.com.tw/prod/DRAD1Y-A900DVP9E
NVIDIA,微星,RTX,4060,,8,6,11690,https://24h.pchome.com.tw/prod/DRADLA-A900GG3K1
NVIDIA,微星,RTX,4060,,8,6,10490,https://24h.pchome.com.tw/prod/DRADLA-A900GOGH5
NVIDIA,索泰,RTX,4070,Super,12,6,21990,https://24h.pchome.com.tw/prod/DRADLX-A900H38AG
NVIDIA,技嘉,RTX,4070,,,,20090,https://24h.pchome.com.tw/prod/DRADL2-A900G87BR
NVIDIA,索泰,RTX,3060,Ti,,6,10690,https://24h.pchome.com.tw/prod/DRADLX-A900GEVSP
NVIDIA,微星,RTX,4070,,,6,19900,https://24h.pchome.com.tw/prod/DRADNP-A900G8CNM
NVIDIA,華碩,RTX,4060,,8,6,10490,https://24h.pchome.com.tw/prod/DRADOG-A900GKVQB
NVIDIA,微星,RTX,4060,Ti,8,6,14990,https://24h.pchome.com.tw/prod/DRADLA-A900GP1VV
NVIDIA,華碩,GTX,1650,,4,6,4990,https://24h.pchome.com.tw/prod/DRADKY-A900GS0R6
NVIDIA,技嘉,RTX,4060,,,,11590,https://24h.pchome.com.tw/prod/DRADL2-A900GFWOS
NVIDIA,華碩,RTX,4070,,,6,18990,https://24h.pchome.com.tw/prod/DRADKY-A900G8CN7
NVIDIA,華碩,RTX,4060,Ti,8,6,13490,https://24h.pchome.com.tw/prod/DRADKY-A900GD4Q7
NVIDIA,技嘉,RTX,4070,Super,12,6,21990,https://24h.pchome.com.tw/prod/DRADP7-A900H3864
NVIDIA,技嘉,RTX,4060,,,6,12990,https://24h.pchome.com.tw/prod/DRADL2-A900GFWN1
NVIDIA,華碩,RTX,4060,Ti,8,6,15990,https://24h.pchome.com.tw/prod/DRADKY-A900GCVDI
NVIDIA,華碩,RTX,4070,Super,12,6,22490,https://24h.pchome.com.tw/prod/DRADKY-A900H34F9
NVIDIA,技嘉,RTX,4060,Ti,8,6,15090,https://24h.pchome.com.tw/prod/DRADL2-A900GCSAC
NVIDIA,華碩,RTX,4070,Ti,12,6,19990,https://24h.pchome.com.tw/prod/DRADKY-A900GS0Z5
